dataset,meta_learner,n_folds,best_single_selected_on,mean_delta_auc_vs_best,std_delta_auc_vs_best,min_auc_p_vs_best,n_folds_sig_vs_best_05,mean_delta_auc_vs_stack,std_delta_auc_vs_stack,min_auc_p_vs_stack,n_folds_sig_vs_stack_05,mean_delta_ece_vs_best,mean_delta_ece_vs_stack
assist2009,static_concept_weights,5,valid,0.016094,0.001191,0.001,5,0.000624,0.001145,0.001,1,-0.013522,0.001891
assist2009,global_stack_concept_intercept,5,valid,0.016178,0.00058,0.001,5,0.000708,0.000633,0.001,3,-0.014962,0.00045
assist2009,linear_gating,5,valid,0.008898,0.001615,0.001,5,-0.006572,0.00173,0.001,5,0.018638,0.034051
assist2015,static_concept_weights,5,valid,0.002226,0.000538,0.001,5,-0.001483,0.000353,0.001,5,-0.003048,0.002105
assist2015,global_stack_concept_intercept,5,valid,0.003776,0.000218,0.001,5,6.7e-05,0.000194,0.148926,0,-0.004667,0.000486
assist2015,linear_gating,5,valid,-0.003474,0.000758,0.001,5,-0.007183,0.000629,0.001,5,0.021139,0.026292
assist2017,static_concept_weights,5,valid,0.01266,0.001295,0.001,5,0.000502,0.00029,0.002999,3,-0.014036,-7.6e-05
assist2017,global_stack_concept_intercept,5,valid,0.012749,0.001416,0.001,5,0.000591,0.00018,0.001,5,-0.014211,-0.000252
assist2017,linear_gating,5,valid,0.006541,0.001344,0.001,5,-0.005617,0.000562,0.001,5,0.017358,0.031317
algebra2005,static_concept_weights,5,valid,0.010085,0.001057,0.001,5,0.001809,0.000196,0.001,5,-0.01478,-0.000299
algebra2005,global_stack_concept_intercept,5,valid,0.00867,0.001022,0.001,5,0.000393,0.000151,0.001,4,-0.014728,-0.000247
algebra2005,linear_gating,5,valid,0.004418,0.000376,0.001,5,-0.003858,0.000942,0.001,5,0.007998,0.022479
bridge2algebra2006,static_concept_weights,5,valid,0.014518,0.001076,0.001,5,0.000721,0.000806,0.001,2,-0.003431,0.000903
bridge2algebra2006,global_stack_concept_intercept,5,valid,0.014714,0.000874,0.001,5,0.000917,0.000468,0.001,5,-0.00443,-9.5e-05
bridge2algebra2006,linear_gating,5,valid,-0.002175,0.002159,0.001,2,-0.015973,0.00157,0.001,5,0.029807,0.034141
assist2012,static_concept_weights,5,valid,0.006379,0.000563,0.001,5,0.00077,7.8e-05,0.001,5,-0.01172,0.000649
assist2012,global_stack_concept_intercept,5,valid,0.006238,0.000497,0.001,5,0.000628,7.3e-05,0.001,5,-0.012117,0.000252
assist2012,linear_gating,5,valid,-0.001298,0.001,0.001,4,-0.006908,0.000865,0.001,5,0.018678,0.031046
ednet,static_concept_weights,5,valid,-0.000207,0.000425,0.001,2,-0.000144,0.000195,0.008996,2,-0.013969,-0.001443
ednet,global_stack_concept_intercept,5,valid,-9.6e-05,0.000356,0.005997,1,-3.3e-05,0.000123,0.02099,1,-0.013172,-0.000646
ednet,linear_gating,5,valid,-0.00063,0.000516,0.001,3,-0.000567,0.000764,0.001,4,-0.007446,0.00508
